Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,values_n object-52 Для них важно придумывать новые идеи и быть креативными. Им нравится делать в своем собственном оригинальном стиле.,values_n object-52 Для них важно придумывать новые идеи и быть креативными. Им нравится делать в своем собственном оригинальном стиле. Quantised,values_n object-52 Им важно быть богатыми. Они хотят иметь много денег и дорогих вещей.,values_n object-52 Им важно быть богатыми. Они хотят иметь много денег и дорогих вещей. Quantised,"values_n object-52 Они считают, что важно, чтобы к каждому человеку в мире относились одинаково. Они считают, что у всех должны быть равные возможности в жизни.","values_n object-52 Они считают, что важно, чтобы к каждому человеку в мире относились одинаково. Они считают, что у всех должны быть равные возможности в жизни. Quantised","values_n object-52 Им важно показать свои способности. Они хотят, чтобы люди восхищались тем, что они делают.","values_n object-52 Им важно показать свои способности. Они хотят, чтобы люди восхищались тем, что они делают. Quantised","values_n object-52 Для них важно жить в безопасной среде. Они избегают всего, что может поставить под угрозу их безопасность.","values_n object-52 Для них важно жить в безопасной среде. Они избегают всего, что может поставить под угрозу их безопасность. Quantised","values_n object-52 Они любят сюрпризы и всегда ищут новые занятия. Они считают, что важно делать много разных дел в жизни.","values_n object-52 Они любят сюрпризы и всегда ищут новые занятия. Они считают, что важно делать много разных дел в жизни. Quantised","values_n object-52 Они считают, что люди должны делать то, что им говорят. Они думают, что люди должны следовать правилам всегда, даже когда на них никто не смотрит.","values_n object-52 Они считают, что люди должны делать то, что им говорят. Они думают, что люди должны следовать правилам всегда, даже когда на них никто не смотрит. Quantised","values_n object-52 Для них важно слушать людей, которые отличаются от них. Даже когда они не согласны с ними, они все равно хотят их понять.","values_n object-52 Для них важно слушать людей, которые отличаются от них. Даже когда они не согласны с ними, они все равно хотят их понять. Quantised",values_n object-52 Для них важно быть скромными и сдержанными. Они стараются не привлекать к себе внимание.,values_n object-52 Для них важно быть скромными и сдержанными. Они стараются не привлекать к себе внимание. Quantised,values_n object-52 Для них важно хорошо проводить время. Они любят «баловать» себя.,values_n object-52 Для них важно хорошо проводить время. Они любят «баловать» себя. Quantised,"values_n object-52 Для них важно принимать собственные решения о том, что они делают. Им нравится быть свободными и не зависеть от других.","values_n object-52 Для них важно принимать собственные решения о том, что они делают. Им нравится быть свободными и не зависеть от других. Quantised",values_n object-52 Для них очень важно помогать людям вокруг. Они хотят заботиться об их благополучии.,values_n object-52 Для них очень важно помогать людям вокруг. Они хотят заботиться об их благополучии. Quantised,"values_n object-52 Для них важно добиться большого успеха. Они надеются, что люди признают их достижения.","values_n object-52 Для них важно добиться большого успеха. Они надеются, что люди признают их достижения. Quantised","values_n object-52 Для них важно, чтобы государство обеспечивало их безопасность от всех угроз. Они хотят, чтобы государство было сильным и могло защищать своих граждан.","values_n object-52 Для них важно, чтобы государство обеспечивало их безопасность от всех угроз. Они хотят, чтобы государство было сильным и могло защищать своих граждан. Quantised",values_n object-52 Они ищут приключений и любят рисковать. Им хочется вести захватывающую жизнь.,values_n object-52 Они ищут приключений и любят рисковать. Им хочется вести захватывающую жизнь. Quantised,"values_n object-52 Для них важно всегда вести себя должным образом. Они хотят избегать всего, что люди могут посчитать неправильным.","values_n object-52 Для них важно всегда вести себя должным образом. Они хотят избегать всего, что люди могут посчитать неправильным. Quantised","values_n object-52 Для них важно, чтобы окружающие их уважали. Они хотят, чтобы люди делали то, что они говорят.","values_n object-52 Для них важно, чтобы окружающие их уважали. Они хотят, чтобы люди делали то, что они говорят. Quantised","values_n object-52 Для них важно быть верными своим друзьям. Они хотят посвящать себя людям, которые им близки.","values_n object-52 Для них важно быть верными своим друзьям. Они хотят посвящать себя людям, которые им близки. Quantised","values_n object-52 Они твердо верят, что люди должны заботиться о природе. Для них важно беречь окружающую среду.","values_n object-52 Они твердо верят, что люди должны заботиться о природе. Для них важно беречь окружающую среду. Quantised","values_n object-52 Традиции важны для них. Они стараются следовать обычаям, переданным их религией или семьей.","values_n object-52 Традиции важны для них. Они стараются следовать обычаям, переданным их религией или семьей. Quantised","values_n object-52 Они ищут любую возможность повеселиться. Для них важно заниматься тем, что приносит удовольствие.","values_n object-52 Они ищут любую возможность повеселиться. Для них важно заниматься тем, что приносит удовольствие. Quantised"
1,1745255517999,21/04/2025 17:11,1745266317999,3,21/04/2025 23:11,209889,4,questionnaire-9izs,,45541173,BLINDED,13236900,,complete,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,393x873,392x770,,,0,PVQ N,3,consent,N,Похоже на меня (5),5,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня (2),2,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2,Не похоже на меня (2),2,Не похоже на меня (2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Не похоже на меня (2),2,Немного похоже на меня (3),3
1,1745575939905,25/04/2025 10:12,1745586739905,3,25/04/2025 16:12,209889,4,questionnaire-9izs,,45635779,BLINDED,13274974,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1324x724,,,0,PVQ N,3,consent,N,Немного похоже на меня (3),3,Не похоже на меня (2),2,Совсем не похоже на меня (1),1,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Не похоже на меня (2),2,Похоже на меня (5),5
1,1745752995781,27/04/2025 11:23,1745763795781,3,27/04/2025 17:23,209889,4,questionnaire-9izs,,45679418,BLINDED,13288552,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1280x720,1265x544,,,0,PVQ N,3,consent,N,Не похоже на меня (2),2,Не похоже на меня (2),2,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Не похоже на меня (2),2,Совсем не похоже на меня (1),1,Не похоже на меня (2),2,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Не похоже на меня (2),2,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Не похоже на меня (2),2,Не похоже на меня (2),2,Совсем не похоже на меня (1),1
1,1745753941446,27/04/2025 11:39,1745768341446,4,27/04/2025 19:39,209889,4,questionnaire-9izs,,45679999,BLINDED,13288587,,live,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1366x768,1366x662,,,0,PVQ N,3,consent,N,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Не похоже на меня (2),2,Не похоже на меня (2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Немного похоже на меня (3),3,Не похоже на меня (2),2,Немного похоже на меня (3),3,Не похоже на меня (2),2,Немного похоже на меня (3),3,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Не похоже на меня (2),2,Немного похоже на меня (3),3,Не похоже на меня (2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2
1,1745767968023,27/04/2025 15:32,1745778768023,3,27/04/2025 21:32,209889,4,questionnaire-9izs,,45679817,BLINDED,13288596,,live,,,computer,Desktop or Laptop,Windows 10,Edge 135.0.0.0,1366x768,1358x650,,,0,PVQ N,3,consent,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1745750393525,27/04/2025 10:39,1745761193525,3,27/04/2025 16:39,209889,4,questionnaire-9izs,,45680024,BLINDED,13288602,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x937,,,0,PVQ N,3,consent,N,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4
1,1745753291326,27/04/2025 11:28,1745767691326,4,27/04/2025 19:28,209889,4,questionnaire-9izs,,45679650,BLINDED,13288705,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1920x1080,1872x940,,,0,PVQ N,3,consent,N,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4
1,1745754750683,27/04/2025 11:52,1745765550683,3,27/04/2025 17:52,209889,4,questionnaire-9izs,,45680262,BLINDED,13288713,,complete,,,computer,Desktop or Laptop,Windows 7,Opera 86.0.4363.59,1920x1080,1552x949,,,0,PVQ N,3,consent,N,Не похоже на меня (2),2,Не похоже на меня (2),2,,,Не похоже на меня (2),2,Отчасти про меня (4),4,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Не похоже на меня (2),2,Отчасти про меня (4),4,Не похоже на меня (2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Не похоже на меня (2),2,Отчасти про меня (4),4,Не похоже на меня (2),2,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Не похоже на меня (2),2
1,1746099253988,01/05/2025 11:34,1746110053988,3,01/05/2025 17:34,209889,4,questionnaire-9izs,,45784847,BLINDED,13323217,,live,,,mobile,undefined K,Android 10,Chrome 135.0.0.0,384x832,384x701,,,0,PVQ N,3,consent,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
